lead_id,fecha_registro,canal,empresa_id,punto_venta_id,nombre_cliente,telefono,email,ciudad,modelo_interes_texto,estado_gestion,fecha_primer_contacto,campania,nombre_normalizado,telefono_normalizado,email_normalizado,ciudad_normalizada,canal_normalizado,estado_normalizado,fecha_registro_normalizada,fecha_primer_contacto_normalizada,modelo_texto_normalizado,source_row_number,motorcycle_sku,model_match_confidence,model_match_method,customer_key,customer_id,is_duplicate,duplicate_group_id,duplicate_confidence,duplicate_reason,precio_lista,initial_payment,payment_method,intent,main_objection,requested_appointment,requested_quote
LD-00001,25-08-2026,Meta Ads,EMP-03,PV-014,  Wilmar Castaño Rodríguez  ,310 482 4081,,bogotá,Bajaj Pulsar RS 200,Cotización enviada,25-08-2026,Feria de Motos 2026,wilmar castano rodriguez,573104824081,,bogota,meta ads,cotizacion enviada,2026-08-25 00:00:00,2026-08-25 00:00:00,bajaj pulsar rs 200,1,SKU-010,100.0,fuzzy,phone:573104824081,eb923fbd-6304-596f-97ac-83dd6f458bf4,True,eb923fbd-6304-596f-97ac-83dd6f458bf4,1.0,same_phone_or_email,15490000.0,,,,,False,False
LD-00002,26-08-2026,formulario web,EMP-02,PV-010,  Claudia Patricia Agudelo Londoño  , 3055411722 ,claudia.agudelo22@hotmail.com,,A.K.T Dynamic R3 125,Descartado,2026-08-26T14:26:00,Retoma tu moto,claudia patricia agudelo londono,573055411722,claudia.agudelo22@hotmail.com,,formulario web,descartado,2026-08-26 00:00:00,2026-08-26 14:26:00,a.k.t dynamic r3 125,2,SKU-018,100.0,fuzzy,phone:573055411722,474adf7b-23ee-5b33-ac15-a643aaf5669e,False,,1.0,,5590000.0,22900000.0,credito,,cuota,False,True
LD-00003,01-08-2026,WhatsApp,EMP-02,PV-010,Marcela Muñoz Escobar,+57 350 2258611,marcela.munoz3@yahoo.es,MONTERIA,suzuki best 125,Contactado,2026-08-04 14:47:00,,marcela munoz escobar,573502258611,marcela.munoz3@yahoo.es,monteria,whatsapp,contactado,2026-08-01 00:00:00,2026-08-04 14:47:00,suzuki best 125,3,SKU-016,100.0,fuzzy,phone:573502258611,af01de05-ab63-5f0f-87f7-ed138ec7ad29,False,,1.0,,6590000.0,,,,,False,False
LD-00004,03/08/2026 10:30,Meta Ads,EMP-01,PV-002,  Yuliana Castaño Valencia  ,3002859667,yuliana.castano97@outlook.com,ITAGUI,Honda  CB 125F Twister,Sin gestión,,Agosto Cero Cuotas,yuliana castano valencia,573002859667,yuliana.castano97@outlook.com,itagui,meta ads,sin gestion,2026-08-03 10:30:00,,honda cb 125f twister,4,SKU-001,100.0,fuzzy,phone:573002859667,e4c87b6f-9325-5e63-bea2-f901a139ce2f,True,e4c87b6f-9325-5e63-bea2-f901a139ce2f,1.0,same_phone_or_email,7990000.0,,,,,False,False
LD-00005,27/08/2026 22:50,META ADS,EMP-03,PV-014,HÉCTOR GIRALDO RESTREPO,573156610968,,Bogotá D.C.,Honda Navi 2026,En proceso,29/08/2026 04:50,,hector giraldo restrepo,573156610968,,bogota,meta ads,en proceso,2026-08-27 22:50:00,2026-08-29 04:50:00,honda navi 2026,5,SKU-004,100.0,fuzzy,phone:573156610968,b1599613-b182-5f47-8f84-7b168f9a158a,False,,1.0,,7290000.0,,,,,False,False
LD-00006,24/08/2026 06:02,WhatsApp,EMP-02,PV-010,MARCELA LONDOÑO CORREA,322-624-9127,marcela.londono94@outlook.com,Montería,Hnda XR 150L,contactado,25/08/2026 12:02,Remate Modelos 2025,marcela londono correa,573226249127,marcela.londono94@outlook.com,monteria,whatsapp,contactado,2026-08-24 06:02:00,2026-08-25 12:02:00,hnda xr 150l,6,SKU-002,100.0,fuzzy,phone:573226249127,51fe20cc-805a-56bd-a369-fb6b4230dc35,False,,1.0,,11490000.0,,,,,False,False
LD-00007,09/09/2026 09:55,WhatsApp,EMP-02,PV-009,FABIÁN BEDOYA TORRES, 3049913564 ,fabian.bedoya39@yahoo.es,Sta Marta,akt ttr 200,Cotización enviada,2026-09-09 11:55:00,Feria de Motos 2026,fabian bedoya torres,573049913564,fabian.bedoya39@yahoo.es,santa marta,whatsapp,cotizacion enviada,2026-09-09 09:55:00,2026-09-09 11:55:00,akt ttr 200,7,SKU-019,100.0,fuzzy,phone:573049913564,0d6e5fda-7281-5ee6-816d-66af26f8f797,False,,1.0,,9890000.0,,,,,False,False
LD-00008,08/18/2026 17:23,Meta Ads,EMP-01,PV-001,Paula Andrea Valencia Franco,300 891 3915,,Medellín,,Cotización enviada,2026-08-18 23:23:00,,paula andrea valencia franco,573008913915,,medellin,meta ads,cotizacion enviada,2026-08-18 17:23:00,2026-08-18 23:23:00,,8,,0.0,none,phone:573008913915,41ac3e61-759b-5a8e-bc25-b68a36e45ce2,False,,1.0,,,,,,,False,False
LD-00009,2026-08-15T11:08:00,WhatsApp,EMP-01,PV-001,María Fernanda Correa Torres,316 107 2464,maria.correa8@yahoo.es,MEDELLIN,Hero Xpulse 200,contactado,15/08/2026 17:08,Feria de Motos 2026,maria fernanda correa torres,573161072464,maria.correa8@yahoo.es,medellin,whatsapp,contactado,2026-08-15 11:08:00,2026-08-15 17:08:00,hero xpulse 200,9,SKU-023,100.0,fuzzy,phone:573161072464,bc28c728-ab07-547c-8a87-bc062ea7bf9f,False,,1.0,,14990000.0,,credito,,soat,False,False
LD-00010,2026-08-26 20:28:00,WhatsApp,EMP-02,PV-007,Alexander Quintero Arias,300 496 0349,,Soledad,Bajaj Discover,Contactado,2026-08-26T21:28:00,Agosto Cero Cuotas,alexander quintero arias,573004960349,,soledad,whatsapp,contactado,2026-08-26 20:28:00,2026-08-26 21:28:00,bajaj discover,10,,80.0,unmatched,phone:573004960349,8505906a-f559-5acd-b647-e6c2c94968be,False,,1.0,,,24900000.0,credito,,cuota,False,True
